agg_error per_agent_error
0 5.545177444479562 5.545177444479562
1 5.543989599656743 5.524676176157343
2 5.543212609636986 5.507630518744597
3 5.542573899466401 5.4930531771208715
4 5.542025236821797 5.480393381709667
5 5.541532612099919 5.4691742951114595
6 5.541081034399566 5.459075090251172
7 5.540663251787231 5.449872669295564
8 5.540275589569043 5.441407573247818
9 5.539915770483949 5.433562201873583
10 5.539581919234334 5.4262472883014645
11 5.539272143458113 5.419393297824479
12 5.538984398608891 5.412944825967613
13 5.538716482796114 5.406856853508907
14 5.538466083765193 5.401092176798869
15 5.538230840002279 5.395619599486437
16 5.5380083986998 5.390412629553623
17 5.537796463856761 5.38544851986526
18 5.537592832923084 5.380707547747843
19 5.537395422715309 5.376172464580046
20 5.537202286217171 5.3718280687680675
21 5.537011622067814 5.367660869910523
22 5.536821778416226 5.363658821459997
23 5.536631252578184 5.359811105579703
24 5.536438687666195 5.356107958282265
25 5.536242867116624 5.352540526010497
26 5.536042707826768 5.349100747010875
27 5.535837252441532 5.345781252438098
28 5.535625661191315 5.342575283296684
29 5.535407203574978 5.339476620195362
30 5.535181250098727 5.336479523545265
31 5.53494726421868 5.333578682331696
32 5.534704794587208 5.330769169972131
33 5.534453467667754 5.328046406069479
34 5.534192980756428 5.325406123100649
35 5.533923095429648 5.322844337261721
36 5.533643631423095 5.320357322834232
37 5.533354460937524 5.317941589550758
38 5.533055503360076 5.315593862528836
39 5.53274672038522 5.313311064415254
40 5.532428111516488 5.311090299441705
41 5.532099709928494 5.308928839140679
42 5.5317615786679175 5.306824109509581
43 5.531413807171923 5.304773679443164
44 5.531056508082834 5.302775250280866
45 5.530689814338405 5.300826646337614
46 5.530313876517855 5.298925806305029
47 5.529928860424771 5.297070775425272
48 5.529534944888992 5.2952596983527815
49 5.529132319770582 5.293490812630053
50 5.528721184150143 5.291762442712962
51 5.528301744690632 5.290072994489066
52 5.527874214156946 5.288420950239146
53 5.527438810080445 5.286804863998132
54 5.526995753556542 5.2852233572766
55 5.526545268164304 5.283675115108487
56 5.5260875789979025 5.28215888239443
57 5.52562291180043 5.280673460513539
58 5.525151492191428 5.279217704179295
59 5.52467354498003 5.277790518517893
60 5.524189293556335 5.276390856349514
61 5.523698959354176 5.275017715655131
62 5.52320276137897 5.2736701372130925
63 5.522700915794876 5.27234720239139
64 5.522193635565921 5.271048031082831
65 5.521681130146194 5.269771779771624
66 5.5211636052146 5.268517639720935
67 5.520641262450038 5.267284835272013
68 5.520114299343215 5.266072622246281
69 5.519582909041579 5.26488028644264
70 5.519047280224206 5.263707142222929
71 5.518507597003686 5.262552531179046
72 5.517964038852326 5.261415820875905
73 5.517416780550199 5.260296403664823
74 5.516865992152818 5.259193695562459
75 5.516311838976321 5.258107135190778
76 5.515754481598326 5.257036182773957
77 5.515194075872713 5.25598031918841
78 5.5146307729567585 5.254939045062493
79 5.514064719349191 5.253911879922666
80 5.513496056937868 5.252898361383176
81 5.5129249230558575 5.251898044376537
82 5.512351450544863 5.250910500422299
83 5.511775767824991 5.249935316931792
84 5.511197998969959 5.248972096546672
85 5.510618263786954 5.248020456509316
86 5.510036677900375 5.247080028063175
87 5.509453352838806 5.246150455881406
88 5.508868396124609 5.24523139752216
89 5.508281911365608 5.244322522909055
90 5.507693998348344 5.243423513835455
91 5.507104753132494 5.242534063491227
92 5.506514268146012 5.241653876010824
93 5.505922632280689 5.240782666041531
94 5.505329930987778 5.239920158330809
95 5.5047362463733975 5.239066087331796
96 5.504141657293497 5.238220196825985
97 5.503546239448127 5.237382239562246
98 5.502950065474833 5.236551976911356
99 5.502353205040997 5.235729178535284
100 5.5017557249349744 5.234913622070499
101 5.501157689155906 5.23410509282462
102 5.500559159002076 5.233303383485781
103 5.499960193157733 5.232508293844081
104 5.499360847778283 5.231719630524585
105 5.498761176573798 5.2309372067313085
106 5.498161230890769 5.2301608420016805
107 5.497561059792075 5.229390361971015
108 5.496960710135123 5.228625598146532
109 5.496360226648131 5.227866387690488
110 5.495759652004549 5.2271125732120165
111 5.495159026895592 5.226364002567291
112 5.494558390100899 5.225620528667628
113 5.493957778557291 5.224882009295209
114 5.493357227425671 5.224148306926059
115 5.4927567701560545 5.223419288559992
116 5.492156438550741 5.2226948255572
117 5.4915562628256644 5.221974793481234
118 5.4909562716699405 5.221259071948062
119 5.490356492303612 5.220547544480984
120 5.48975695053366 5.219840098371146
121 5.489157670808268 5.219136624543404
122 5.488558676269405 5.218437017427341
123 5.487959988803735 5.217741174833199
124 5.4873616290918985 5.2170489978325385
125 5.4867636166562 5.216360390643432
126 5.486165969906727 5.215675260519999
127 5.485568706185956 5.2149935176461035
128 5.484971841811857 5.214315075033049
129 5.484375392119553 5.213639848421135
130 5.483779371501556 5.212967756184858
131 5.483183793446635 5.212298719241682
132 5.4825886705773295 5.211632660964186
133 5.481994014686163 5.210969507095479
134 5.481399836770585 5.210309185667741
135 5.480806147066671 5.209651626923777
136 5.480212955081639 5.208996763241456
137 5.479620269625186 5.2083445290609305
138 5.4790280988397 5.207694860814515
139 5.478436450229384 5.207047696859144
140 5.477845330688299 5.206402977411274
141 5.477254746527395 5.205760644484173
142 5.476664703500536 5.205120641827473
143 5.476075206829558 5.204482914868922
144 5.475486261228393 5.203847410658236
145 5.474897870926287 5.203214077812977
146 5.474310039690141 5.202582866466384
147 5.473722770846008 5.201953728217063
148 5.473136067299761 5.2013266160805
149 5.4725499315569825 5.200701484442288
150 5.471964365742074 5.2000782890130335
151 5.471379371616638 5.199456986784867
152 5.470794950597134 5.198837535989495
153 5.470211103771854 5.19821989605774
154 5.469627831917225 5.197604027580516
155 5.469045135513473 5.196989892271169
156 5.468463014759655 5.196377452929163
157 5.467881469588113 5.195766673405021
158 5.467300499678327 5.195157518566514
159 5.466720104470224 5.19454995426602
160 5.466140283176946 5.193943947309031
161 5.465561034797101 5.193339465423753
162 5.4649823581265045 5.192736477231762
163 5.464404251769459 5.192134952219689
164 5.463826714149553 5.191534860711868
