agg_error per_agent_error
0 5.5428553485940535 5.509661533952396
1 5.540571862186794 5.476516453675833
2 5.5383260127309715 5.445610230177927
3 5.536116847366848 5.416817963842472
4 5.533943432881644 5.390021477963575
5 5.531804855661777 5.3651089806191905
6 5.529700221618677 5.34197473956614
7 5.527628656089629 5.320518770241972
8 5.525589303715044 5.300646536857796
9 5.523581328293663 5.282268666479903
10 5.5216039126172465 5.265300675925088
11 5.51965625828625 5.249662711233981
12 5.517737585508051 5.235279299436964
13 5.515847132879238 5.2220791122874335
14 5.513984157153413 5.209994741605803
15 5.512147932995989 5.198962485854036
16 5.510337752727356 5.18892214754333
17 5.508552926055752 5.179816841066237
18 5.506792779801122 5.171592810537934
19 5.505056657611202 5.164199257229102
20 5.503343919670935 5.157588176173915
21 5.501653942406365 5.151714201540815
22 5.49998611818398 5.146534460360174
23 5.498339855006489 5.14200843421139
24 5.496714576205918 5.138097828481996
25 5.49510972013484 5.134766448822531
26 5.4935247398565314 5.131980084433094
27 5.491959102834733 5.1297063978303035
28 5.490412290623681 5.127914820756638
29 5.4888837985590015 5.126576455907701
30 5.487373135450015 5.125663984166517
31 5.485879823273918 5.125151577047741
32 5.48440339687234 5.125014814068018
33 5.482943403650612 5.125230604772175
34 5.481499403280173 5.125777115157899
35 5.480070967404377 5.126633698254265
36 5.478657679348028 5.127780828621853
37 5.47725913383089 5.1292000405540765
38 5.475874936685351 5.130873869770884
39 5.474504704578488 5.132785798407058
40 5.473148064738664 5.1349202031079155
41 5.47180465468679 5.1372623060554234
42 5.470474121972394 5.139798128757393
43 5.46915612391456 5.142514448441704
44 5.46785032734784 5.145398756906314
45 5.4665564083731635 5.148439221684189
46 5.465274052113828 5.151624649390227
47 5.464002952476536 5.154944451124829
48 5.462742811917562 5.158388609815908
49 5.461493341213973 5.161947649387908
50 5.46025425923996 5.165612605652788
51 5.459025292748207 5.169374998824045
52 5.457806176156298 5.173226807560518
53 5.4565966513380975 5.177160444452136
54 5.455396467420098 5.181168732864922
55 5.454205380582631 5.185244885067291
56 5.453023153865928 5.189382481564323
57 5.45184955698094 5.193575451570881
58 5.450684366124865 5.197818054558541
59 5.449527363801309 5.202104862815057
60 5.448378338644993 5.206430744958691
61 5.44723708525095 5.21079085035311
62 5.446103404008128 5.215180594371667
63 5.4449771009373 5.2195956444629665
64 5.443857987533219 5.2240319069723355
65 5.442745880610939 5.2284855146765
66 5.441640602156183 5.232952814991294
67 5.440541979179729 5.237430358814473
68 5.439449843575662 5.241914889968012
69 5.438364031983474 5.246403335206273
70 5.437284385653872 5.250892794758393
71 5.43621075031825 5.255380533375083
72 5.4351429760617105 5.259863971851761
73 5.434080917199565 5.264340679001525
74 5.4330244321572465 5.268808364053061
75 5.431973383353508 5.273264869449966
76 5.430927637086884 5.277708164029326
77 5.429887063425284 5.282136336558683
78 5.4288515360986604 5.28654758961171
79 5.427820932394692 5.290940233764015
80 5.426795133057364 5.295312682091589
81 5.425774022188404 5.29966344495539
82 5.424757487151489 5.303991125056504
83 5.423745418479147 5.308294412747184
84 5.422737709782292 5.312572081583937
85 5.421734257662306 5.3168229841095656
86 5.4207349616256275 5.321046047851855
87 5.419739724000737 5.325240271527247
88 5.418748449857532 5.329404721438532
89 5.417761046928967 5.333538528056167
90 5.41677742553494 5.337640882773452
91 5.4157974985083435 5.341711034826293
92 5.4148211811232265 5.345748288368852
93 5.413848391025013 5.349751999696794
